America’s Misguided Immigration Debate	アメリカ の 見当 違い な 移民 討論
As a result, religious interpretation – previously, a highly decentralized function undertaken by various seminaries – was concentrated in the hands of a political leader.	結果 と し て 、 宗教 解釈 – 以前 は 、 多数 の 神 学校 が 請け負う こと で 広く 分散 さ れ て い た 機能 – が 、 政治 指導 者 たち の 手 に 集中 し た 。
Accordingly, the seminary establishment was no longer a civil structure managing only religious affairs, but instead developed into a unified, ideological party serving the interests of the regime.	従っ て 、 神 学校 組織 は 、 もはや 宗教 情勢 のみ を 管理 する 市民 機構 で は なくなり 、 代わり に 統一 さ れ た 、 政権 の 関心 事 に 従事 する イデオロギー 集団 へ と 育て られ た 。
That transformation was far-reaching.	この 変容 は 遠く まで 及ん だ 。
Traditionally, Shiite seminaries were rather unorganized, unstructured places, based on pre-modern styles of management.	因習 的 に 、 シーア 派 神 学校 は 前 近代 方式 の マネジメント を 基盤 と する 、 どちら か と 言え ば 、 未 編成 の 、 組織 さ れ て い ない 場所 で あっ た 。
The concept of a decentralized religious establishment is difficult for Westerners to understand, given the highly structured administrative framework of Christian churches and ecclesiastical orders.	キリスト 教 の 教会 と その 秩序 と いっ た 、 高度 に 組織 さ れ た 管理 体制 を 持つ 西側 の 者 が 、 分散 さ れ た 宗教 的 組織 の 構想 を 理解 する の は 難しい 。
But this fluid hierarchy, an absence of written rules and organizational order, allowed the various seminaries – and their different interpretive traditions – to survive despotic political regimes and resist intervention by different dynasties and monarchies.	しかし 、 この 流動 的 な ヒエラルキー と 、 成文 規定 及び 組織 的 秩序 の 欠乏 が 、 多数 の 神 学校 – そして それぞれ 異なる 解釈 の 因習 – に 、 独裁 的 な 政治 体制 の 数々 を 生き延び させ 、 様々 の 王朝 や 君主 制 に よる 干渉 に 耐え させ た の だ 。
This change in Shiite orientation also reflects a very modern influence on politics.	シーア 派 の 志向 に おけ る この 変化 は 、 政治 へ の 非常 に 近代 的 な 影響 も 、 反映 し て いる 。
Since Shiite fundamentalism is itself a recent phenomenon, the early Iranian revolutionaries inevitably rebuilt the religious seminaries along lines suggested by the Iranian opposition’s most powerful pre-revolutionary discourse: communist ideology.	シーア 派 原理 主義 は それ 自体 が 近年 現れ た もの で ある こと から 、 早期 の イラン 革命 家 たち は 、 イラン 反対 派 最強 の 革命 前 論議 に よっ て 提案 さ れ た 方針 : 共産 主義 の イデオロギー に 沿っ て 、 必然 的 に 宗教 的 神 学校 を 再建 し た 。
By “modernizing” the seminaries following a single-party model, the revolutionaries gained control over them.	一党 モデル に 従い 、 神 学校 を 「 近代 化 」 する こと で 、 革命 家 たち は 彼 ら を 統制 し た 。
The seminaries became little more than an extension of the political system.	神 学校 は 政治 機構 の 拡張 に 過ぎ ない もの と なっ た 。
The death of Ayatollah Khomeini – and that of other religious authorities ( marjas ) like Ayatollah Abul Qassem Khoi in Najaf, Iraq – marked the end of the ideal of a ruler who had mastered both religion and politics.	アヤトラ ・ ホメイニ の – そして 他 の 宗教 権威 たち ( marjas ) 、 例えば イラク ・ ナジャフ で の アヤトラ ・ アブル ・ カーシム・ホイ の – 死 は 、 宗教 と 政治 、 両方 に 精通 し た 統治 者 の 理想 に 終止 符 を 打っ た 。
Iran’s current supreme ruler, Seyyed Ali Khamenei, whose religious degree was a focus of suspicion in the seminary and among the clerical elite, was not considered a jurist by merit.	その 宗教 学位 が 神 学校 で の 疑念 や 聖職 エリート の 間 で の 焦点 で あっ た イラン の 現 最高 統治 者 、 セイ エド・アリ・ハーメネイ は 、 法律 学 者 と 見なさ れ て は い なかっ た 。
Consequently, Khamenei’s evident lack of religious legitimacy has pushed the government to assume full control over the clerical establishment, further depriving the seminaries of their historical independence.	結果 と し て 、 ハーメネイ の 明らか な 宗教 的 合法 性 の 不足 は 、 政府 が 聖職 組織 を 完全 に 統制 し 、 さらに 神 学校 の 歴史 的 な 自立 を 奪う 後押し を し た 。
The last decades have provided the regime with near-ideal conditions to seize control over the Shiite clerical establishment in Iraq as well.	過去 の 数十 年 は 、 政権 に 、 イラク の シーア 派 聖職 組織 を 統制 する ため の 、 ほぼ 理想 的 な 状態 を も 与え た 。
Under Saddam Hussein, restrictions were imposed on the Shiite seminary in Najaf – traditionally a counterbalance to Iran’s Shiite establishment – forcing the emigration of a number of clerics to the Iranian seminary in Qom.	サダム ・ フセイン の 下 で は 、 ナジャフ の シーア 派 神 学校 – 因習 的 に イラン の シーア 派 組織 と つりあう 勢力 – に 規制 が 強い られ 、 多く の 聖職 者 が 、 コム に ある イラン の 神 学校 へ の 移住 を 余儀 なく さ れ た 。
Indeed, growing Iranian control of the Shiite clerical establishment extended beyond Iraq.	実際 に 、 イラン に よる シーア 派 聖職 組織 の 統制 は 、 イラク を 越え て 広がっ た 。
It was also strengthened by the regime’s activities in the 1980’s, when it created Hezbollah as a guerilla organization in Lebanon, thereby expanding its domination over the most important Shiite areas in the region. The Iranian regime then consolidated its mastery of the Shiite network in the Middle East, and now uses this control to further its own interests.	また 、 レバノン で ゲリラ 組織 と し て ヒズボラ を 作り出し 、 それ に よっ て 地域 に おけ る シーア 派 最 重要 地区 へ の 支配 を 拡大 し た 、 1980 年代 の 政権 の 活動 に よっ て も 強化 さ れ た ��� その 後 イラン 政権 は 、 中東 に おけ る シーア 派 ネットワーク の 支配 を 統合 し 、 現在 この 統制 を 自ら の 関心 事 に 使っ て いる 。
There is thus little prospect of an alternative Shiite power center emerging out of the chaos in Iraq.	従っ て 、 代わり と なる シーア 派 勢力 の 中心 が イラク の 混沌 の 内 から 現れる 見込み は 、 あまり ない 。
Khamenei, the supreme leader, has succeeded in politicizing the Shiite clerical establishment, primarily by controlling the financial resources of the religious authorities and Shiite institutions in Iran and the region.	最高 指導 者 ハーメネイ は 、 主 と し て イラン と 周辺 地域 に おけ る 宗教 的 権威 と シーア 派 機関 の 財源 を 支配 する こと に よっ て 、 シーア 派 聖職 組織 を 政治 的 に 扱う こと に 成功 し た 。
Iraq’s leading Shiite cleric, Ayatollah Ali Sistani, has not been able to act independently and has avoided opposing Iranian policies toward Iraq in order to protect his fragile network of institutions.	イラク の 優れ た シーア 派 聖職 者 、 アヤトラ ・ アリ ・ シスタニ は 、 自立 的 に 行動 する こと が でき て おら ず 、 彼 の 壊れ やすい 機関 ネットワーク を 守る ため に 、 イラン の 対 イラク 政策 へ の 反対 を 避け た 。
As a result, despite Saddam’s fall, the Najaf seminary remains impotent.	結果 と し て 、 サダム 失脚 に も かかわら ず 、 ナジャフ 神 学校 は 無力 の まま で ある 。
Ironically, it seems that theocratic theory in Iran has led to anti-theocracy.	皮肉 な こと に 、 イラン に おけ る 神政 主義 の 理論 が 、 反神 権 政治 へ と 導い た よう で ある 。
With the seminaries politicized and their independence greatly reduced, the religious establishment is no longer in a position to confer political legitimacy on the regime.	政治 的 に 扱わ れ 、 自立 を 大きく 制限 さ れ た 神 学校 を 抱える 宗教 組織 は 、 もはや 、 政権 に 政治 的 合法 性 を 授与 する 立場 に ない 。
Nor can it exercise its traditional functions in the religious sphere to provide support to civil society in the country.	また 、 国 の 市民 社会 へ の 宗教 分野 に おけ る 支援 提供 と いう 、 因習 的 機能 を 果たす こと も でき ない 。
At a time when the Islamic Republic has failed in its economic and political promises to the Iranian people, the regime’s most glaring weakness may prove to be the absence of a credible religious authority that can justify its shortcomings.	イスラム 共和 国 が イラン 国民 へ の 経済 ・ 政治 的 公約 を 果たせ なかっ た とき 、 かの 政権 の 最も 顕著 な 弱点 は 、 その 短所 を 正当 化 でき て 信頼 できる 宗教 権威 の 欠如 で ある こと が 、 明らか に なる か も しれ ない 。
	
Islam as a Tool of Modernization	現代 化 に 有効 な 手段 と し て の イスラム 教
A big worry in Iraq and the wider Middle East is that Islam and modernization are enemies.	イラク および 広域 中東 に おけ る 最大 の 懸念 の 1 つ は 、 イスラム 教 と 現代 化 が 対立 する 点 で ある 。
But Malaysian history over the past three decades shows that this belief is mistaken.	しかし 過去 30 年間 の マレーシア の 歴史 は 、 この 考え が 誤っ て いる こと を 示し て いる 。
In fact, Islamization has proved to be an effective political means of reconciling the majority of Malays to the country’s rapid economic development.	事実 、 イスラム 化 は 、 マレー 人 の 大 部分 を 国 の 急速 な 経済 発展 に 調和 さ せる 、 有効 な 政治 的 手段 で ある こと が 証明 さ れ て いる 。
In the early 1970’s, when it was still an overwhelmingly agrarian country and Islamization was just gaining momentum, Malaysia embarked on its so-called “New Economic Policy” (NEP), designed to help the majority Malays gain a bigger share of the country’s wealth.	1970 年 代 前半 、 マレーシア が 全体 的 に 農業 国 で あり 、 イスラム 化 が 勢い を 増し 始め た ばかり の 頃 、 マレーシア は 国民 の 大 多数 を 占める マレー 人 に より 大きな 福利 厚生 を 分け与える こと を 目的 と する 、 いわゆる 「 新 経済 政策 ( NEP : New Economic Policy ) 」 を 打ち立て た 。
After three decades of spectacular economic growth, many Malays have become prosperous and content not only through secular capitalism, but through the country’s renewed sense of Islamic identity, one which – for the most part – embraced modernization.	劇的 な 経済 成長 の 30 年間 を 経 て 、 多く の マレー 人 が 裕福 に なり 、 非 宗教 的 な 資本 主義 のみ なら ず 、 国 が 提示 する 現代 化 を ( 概ね ) 擁護 する 新しい イスラム 教 の アイデンティティ に つい て も 満足 する よう に なっ た 。
(Of course, paradoxes appear every now and then, such as when globalization is advocated alongside demands for stronger censorship.)	( もちろん 、 検閲 の 強化 を 要求 し ながら グローバル 化 が 支持 さ れる など の 矛盾 は いつ で も 表面 化 し て いる 。 )
Islamic-minded politicians such as Anwar Ibrahim gained prominence when Islamization took off in the 1970’s.	アンワル イブラヒム ( Anwar Ibrahim ) など の イスラム 教 志向 の 政治 家 は 、 1970 年 代 に イスラム 化 が 進み 始め た 頃 に 活躍 し た 。
But the Islam they promoted was not backward looking; instead, it sought to shape a modernizing economic policy that took note of Muslim sensibilities.	しかし 彼 ら が 推進 し た イスラム 教 と は 、 決して 後退 的 な もの で は なかっ た 。 むしろ 、 イスラム 教 徒 の 感性 に 注目 し た 現代 化 経済 政策 を 形成 する こと を 目指し て い た の で ある 。
Faced with the grassroots popularity of this movement, by 1982 the government of then Prime Minister Mahathir Mohamed decided to co-opt Anwar Ibrahim into his United Malays National Organisation (UMNO), the dominant party within the country’s ruling coalition.	この 運動 の 草の根 的 な 支持 の 広がり に 後押し さ れ 、 1982 年 に は 当時 の マハティール モハマド ( Mahathir Mohamed ) 首相 政権 は 、 アンワル イブラヒム を 国 の 連合 政権 内 の 与党 、 統一 マレー 国民 組織 ( UMNO : United Malays National Organisation ) に 招聘 する こと を 決定 し た 。
The strategy worked well, and helped defuse Islamic opposition to the wrenching changes that accompanied the country’s rapid economic modernization.	戦略 は 成功 し 、 国 の 急激 な 経済 の 現代 化 に 付随 する 痛み を 伴う 変化 に 対する 、 イスラム 教 徒 に よる 抵抗 の 緩和 に 寄与 し た 。
During the 1990’s, however, Anwar increased his influence within the party, unsettling many of the old guard.	ただし 1990 年代 の 間 、 アンワル は 党内 で の 影響 力 を 強め 、 従来 の 安全 装置 を 不 安定 化 し た 。
Matters came to a head after the 1997 financial crisis, when Anwar, the deputy prime minister, adopted an even more economically liberal approach than Mahathir.	1997 年 の 経済 危機 後 、 アンワル 副 首相 が マハティール より も 経済 的 に リベラル な 手法 を 採用 し た 際 に この 問題 が 取り上げ られ た 。
Partly in response to this challenge, Anwar was sacked.	アンワル は この 挑戦 へ の 措置 を 一因 と し て 、 解任 さ れ た 。
Anwar’s bizarre trial and sentencing on charges of sodomy and abuse of power invigorated the reformasi movement, as growing anti-UMNO and anti-Mahathir sentiments took hold among Islamic-minded Malays.	アンワル に よる 華々しい 試み と 、 彼 に 対する 有罪 判決 および 権力 の 乱用 に より 、 イスラム 教 志向 の マレー 人 の 間 で 、 反 UMNO および 反 マハティール 感情 の 支持 が 拡大 し 、 reformasi ( 改革 ) 運動 が 活発 化 し た 。
This culminated in poor electoral results for the ruling coalition in November 1999.	これ は 最終 的 に は 、 1999 年 11 月 の 支配 連合 政権 の 惨憺 たる 選挙 結果 に つながっ た 。
The Islamist party, Parti Islam SeMalaysia (PAS), took power in the states of Kelantan and Trengganu and strongly threatened UMNO in other northern states.	イスラム 教 政党 で ある 全 マレーシア イスラム 党 ( PAS : Parti Islam SeMalaysia ) が ケランタン 州 および トレンガヌ 州 で 勝利 し 、 他 の 北部 の 州 に おい て も UMNO を 接戦 で 脅かし た 。
The personal conflict between Mahathir and Anwar thus led to an apparent rupture between Malaysia’s Islamist political forces and the modernizers of UMNO.	マハティール と アンワル と の 間 の 個人 的 な 対立 が 、 マレーシア の イスラム 教 政治 権力 と UMNO の 現代 化 推進 派 と の 間 の 明白 な 不和 に 発展 し た の で ある 。
So, once again, Mahathir felt pressure to adopt a strategy aimed at preventing Islam from becoming a tool of opposition.	つまり 、 繰返し に なる が 、 マハティール は イスラム 教 が 対抗 勢力 に 利用 さ れる こと を 防ぐ こと を 目的 と する 戦略 を 採用 する 必要 性 を 感じ て い た 。
This impulse strongly affected his choice of a successor when he decided to step down as prime minister.	この 衝動 は 、 彼 が 首相 辞任 を 決断 し た 際 の 継承 者 の 選択 に 大きな 影響 を 与え た 。
His choice of Abdullah Badawi, the current prime minister, helped UMNO regain the Islamist moral high ground that the PAS had been claiming.	マハティール に よる アブドラ バダウィ ( Abdullah Badawi ) 現 首相 の 選択 は 、 UMNO に よる 、 PAS が 主張 する ところ の イスラム 教 の 高い 道徳 基準 の 再 獲得 に 寄与 し た 。
It was the beginning of America’s global “war on terror” in 2001, however, that brought the political march of the Islamist parties to a screeching halt, as it provided an excuse for the government to crack down on the Malay right and the PAS.	ただし 、 イスラム 教 政党 の 政治 的 進行 が 急 停止 し た の は 、 政府 が マレー 人 の 人権 および PAS に 鉄槌 を 下す こと に 十分 な 論拠 を 与え た 、 2001 年 の アメリカ に よる グローバル な 「 テロ と の 戦い 」 開始 以来 の こと で あっ た 。
But this only renewed UMNO’s desire to portray itself as sufficiently Islamist.	しかし これ に より 、 UMNO の 正当 な イスラム 教 組織 で あろう と する 意図 が 、 新た に 見直さ れ た だけ で あっ た 。
So, before stepping down, Mahathir went so far as to declare Malaysia a de facto Muslim state.	そこ で 、 マハティール は 辞任 前 に 、 マレーシア を デファクト な イスラム 教 国家 で ある と 宣言 まで し た 。
Eyebrows were raised and questions were asked about the lengths to which Mahathir would go to counteract the Islamist appeal.	マハティール が イスラム 教 の 人気 を どこ まで 減殺 する の か に つい て 、 多く の 批判 と 質問 が 殺到 し た 。
This trend continues. One of Badawi’s first acts after taking over as prime minister in October 2003 was to introduce the concept of Islam Hadhari.	この 傾向 は 続く �� バダウィ が 2003 年 10 月 、 首相 に 着任 し て から 第 一 に 行っ た こと の 1 つ が 、 Islam Hadhari ( 進歩 的 な イスラム ) 概念 の 導入 で あっ た 。
This vague term was finally fleshed out with a list of ten principles in September 2004, all but one of which, however, was without religious connotations.	この 曖昧 な スローガン は 、 最終 的 に は 2004 年 9 月 に 10 の 原則 と し て 施行 さ れ た が 、 その 内容 は いずれ も 政治 的 な 暗示 を 含む もの で は なかっ た 。
Nevertheless, this move appeared to be all that was needed for Islam-minded voters to return to the fold of the ruling front.	しかし ながら 、 この 動き は 、 イスラム 教 志向 の 投票 者 を 支配 政権 の 支持 に 回帰 さ せる に は 十分 だっ た よう で ある 。
In the general election in March 2004 – the first since Mahathir stepped down after 22 years in power – moderate Muslims helped Abdullah Badawi to a landslide victory.	( マハティール が 22 年間 の 任期 を 終え て 第 一 回 目 の ) 2004 年 3 月 の 総 選挙 で 、 穏健 派 イスラム 教 徒 は アブドラ バダウィ に よる 国 を 揺るがす ほど の 大 勝利 を 導い た 。
The release of Anwar Ibrahim soon afterwards raised the new premier’s prestige further as a leader who could heal intra-Malay, and intra-Muslim, conflicts.	直後 の アンワル イブラヒム の 釈放 は 、 新しい 首相 の 、 マレー 人間 、 イスラム 教 徒 間 の 対立 を 緩和 できる 主導 者 と し て の 名声 を さらに 高め た 。
Since then, Abdullah Badawi has been popularizing the concept of “Hadhari,” shaping it as a means to shift Islam’s focus from its sanctioning function to its civilizing potential and rendering it less ideological.	それ から と いう もの 、 アブドラ バダウィ は Hadhari ( 進歩 的 ) 概念 の 浸透 を はかり 、 イスラム 教 の 重点 を 認可 的 な 機能 から 文明 化 の 潜在 性 と イデオロギー の 緩和 へ と 移行 する 手段 と し て 強化 し て いる 。
In Malaysia today, Islam is being presented as a generator of civilization and culture, and not merely as a source of religious inspiration.	今日 の マレーシア で は 、 イスラム 教 は 宗教 的 刺激 の 源泉 と し て のみ なら ず 、 文明 化 の 原動 力 と し て 表現 さ れ て いる 。
This has helped to counter extremist tendencies domestically and provides a conceptual platform for moderate Islam.	これ は 、 国内 の もっとも 過激 主義 的 な 傾向 に 対抗 し 、 穏健 派 イスラム 教 徒 の 概念 的 な 拠所 を 提供 する こと に 寄与 し て いる 。
Islam Hadhari tries to project the idea that UMNO’s materialism and nationalism do not contradict Islam.	Islam Hadhari は 、 UMNO の 実利 主義 と 国家 主義 は イスラム 教 と 対立 し ない と いう 考え を 提起 しよう と する もの で ある 。
With various feints and strategies, Malaysia has effectively managed the tensions between a secular, modernizing agenda and the Islamic faith that the Malays profess.	数多く の 陽動 作戦 と 戦略 に より 、 マレーシア は 非 宗教 的 な 現代 化 の 目的 と マレーシア が 公言 する イスラム 教 信仰 と の 間 の 緊張 関係 を 効果 的 に 管理 し て いる 。
By making Islamists and Islamist sentiments a part of the process of modernization, Malaysia demonstrates that Islamic faith and economic growth can be reconciled if politicians are clever enough not to treat them as contradictions.	マレーシア は 、 政治 家 に イスラム 教 信仰 と 経済 成長 を 矛盾 と し て 捉え ない だけ の 賢明 さ が あり さえ すれ ば 、 イスラム 教 徒 と イスラム 教 徒 の 感情 を 現代 化 プロセス に 組込む こと に より 、 両者 が 調和 し うる こと を 示し て いる 。
	
Islam’s Forsaken Renaissance	イスラム 教 が 放棄 し た ルネサンス
Children often play a game where they sit in a circle.	子供 が 円 に なっ て 座る ゲーム が ある 。
One whispers something to his neighbor, who then whispers that information to the next child, and so on, around the circle.	誰 か が 隣 の 子供 に 何 か を 伝え 、 その 子供 が 情報 を 次 の 子供 に 伝え 、 それ が 円 を 一 周 する の で ある 。
By the time the last child whispers the information to the first, it is totally different from what was originally said.	最後 の 子供 が 最初 の 子供 に 情報 を 伝える 頃 に は 、 それ は 最初 の 情報 と は まったく 異なる もの に なっ て いる 。
Something like that seems to have happened within Islam.	イスラム 教 内 で も 同様 の こと が 起き て いる よう で ある 。
The Prophet of Islam, Muhammad, brought one – and only one – religion.	イスラム 教 の 教祖 、 マホメット は 、 唯一 無二 の 宗教 を もたらし た 。
Yet today we have perhaps a thousand religions that all claim to be Islam.	しかし 今日 で は 、 イスラム 教 を 起源 と する 約 1 , 000 の 宗教 が 存在 する 。
Divided by their different interpretations, Muslims do not play the role they once did in the world; instead, they are weakened and victimized.	さまざま な 解釈 に より 分離 さ れ 、 今 や イスラム 教 は かつて 世界 に おい て 果たし て い た 役割 を 果たし て おら ず 、 かわり に 弱体 化 し 迫害 さ れ て いる 。
The Shia/Sunni schism is so deep that each side condemns followers of the other as apostates, kafir.	シーア 派 と スンニ 派 の 対立 の 根 は 深く 、 各派 とも 互い の 信者 を 背教 者 、 「 kafir 」 と 糾弾 する 。
The belief that the other’s religion is not Islam, and its followers not Muslim, has underpinned internecine wars in which millions have died – and continue to die.	相手 の 宗教 が イスラム 教 で は なく 、 その 信者 は イスラム 教 徒 で は ない と いう 信念 が 、 何百 万 人 も の 人 が 命 を 落とし 、 また 死に 続け て いる 宗教 内 戦争 を 下支え し て き た 。
Even among the Sunnis and Shias there are further divisions.	スンニ 派 および シーア 派 内 に も さらなる 分離 が ある 。
The Sunnis have four imams and the Shias have twelve; their teachings all differ.	スンニ 派 に は 4 人 、 シーア 派 に は 12 人 の イマーム が おり 、 全員 が 異なる 教え を 諭し て いる 。
Then there are other divisions, including the Druze, the Alawites, and the Wahabis.	さらに 、 ドルーズ 派 ( Druze ) 、 アラウィ 派 ( Alawites ) 、 ワハビス 派 ( Wahabis ) を 含む 別 の 宗派 が ある 。
We are also taught by our ulamas (religious instructors) that their teachings must not be questioned.	私 たち は また 、 「 ulamas 」 ( 宗教 的 指導 者 ) に より 、 教え を 疑っ て は なら ない と 指導 さ れる 。
Islam is a faith.	イスラム 教 は 信仰 で ある 。
It must be believed.	信じ なけれ ば なら ない と 。
Logic and reason play no part in it.	そこ に 理論 や 論拠 は 存在 し ない 。
But what is it that we must believe when each branch of Islam thinks the other one is wrong?	しかし イスラム 教 の 各 宗派 が 互い を 間違っ て いる と 考える 場合 、 何 を 信じれ ば よい の で あろう か 。
The Koran, after all, is one book, not two or three, or a thousand.	結局 の ところ コーラン は 2 、 3 冊 や 1 , 000 冊 で は なく 、 1 冊 の 本 な の で ある 。
According to the Koran, a Muslim is anyone who bears witness that “there is no God (Allah) but Allah, and that Muhammad is his Rasul (Messenger).”	コーラン に よれ ば 、 イスラム 教 徒 と は 「 アラー を 置い て 他 に 神 ( アラー ) は なく 、 マホメット は 神 の Rasul ( 預言 者 ) で ある 」 と 信ずる すべて の 者 で ある 。
If no other qualification is added, then all those who subscribe to these precepts must be regarded as Muslims.	他 に 資格 基準 が 追加 さ れる こと さえ なけれ ば 、 この 教え に 従う すべて の 者 は イスラム 教 徒 と みなさ れる べき で ある 。
But because we Muslims like to add qualifications that often derive from sources other than the Koran, our religion’s unity has been broken.	しかし 私 たち イスラム 教 徒 が 、 コーラン 以外 を 起源 と する こと が 多い 資格 基準 を 追加 する ため 、 宗教 の 統一 性 が 損なわ れ て いる の で ある 。
But perhaps the greatest problem is the progressive isolation of Islamic scholarship – and much of Islamic life – from the rest of the modern world.	しかし おそらく 最大 の 問題 は 、 イスラム 教学 および 多く の イスラム 教 徒 の 生活 が 、 現代 世界 から ますます 乖離 し て いる 点 で ある 。
We live in an age of science in which people can see around corners, hear and see things happening in outer space, and clone animals.	私 たち は 見通し が よく 、 外界 で 起き て いる 事象 を 見聞き でき 、 動物 の クローン さえ 生み出す 科学 の 時代 に 生き て いる 。
And all of these things seem to contradict our belief in the Koran.	そして これ ら の すべて が コーラン の 信仰 と は 矛盾 する よう に 見える の で ある 。
This is so because those who interpret the Koran are learned only in religion, in its laws and practices, and thus are usually unable to understand today’s scientific miracles.	これ は コーラン を 解釈 する 者 たち が 、 宗教 内 で のみ 法 や 実践 を 学ん で いる ため 、 今日 の 科学 的 な 奇跡 を 理解 でき ない こと が 多い ため で ある 。
The fatwas (legal opinions concerning Islamic law) that they issue appear unreasonable and cannot be accepted by those with scientific knowledge.	彼 ら が 施行 する 「 fatwas 」 ( イスラム 教 の 法律 に 関する 法的 意見 ) は 不 合理 で 、 科学 的 知識 が ある 者 から すれ ば 受け入れ がたい 内容 に 思える 。
One learned religious teacher, for example, refused to believe that a man had landed on the moon.	たとえば 、 ある 見識 の 深い 宗教 的 指導 者 は 、 人 が 月 に 着陸 し た こと を 信じる こと を 拒否 し た 。
Others assert that the world was created 2,000 years ago.	別 の 指導 者 は 、 世界 が 2 , 000 年 前 に 生まれ た と 言い張る 。
The age of the universe and its size measured in light years – these are things that the purely religiously trained ulamas cannot comprehend.	光年 で 計測 さ れる 宇宙 の 年齢 および 規模 など は 、 純粋 に 宗教 的 な 訓練 を 受け て き た ulamas に とっ て 理解 不能 な もの で ある 。
This failure is largely responsible for the sad plight of so many Muslims.	この 過ち こそ が 、 多く の イスラム 教 徒 の 悲しい 苦境 の 主因 で ある 。
Today’s oppression, the killings and the humiliations of Muslims, occurs because we are weak, unlike the Muslims of the past.	今日 の 苦境 、 イスラム 教 徒 の 殺害 および 迫害 は 、 過去 の イスラム 教 徒 と は 異なり 、 私 たち が 弱い ため に 起き て いる の で ある 。
We can feel victimized and criticize the oppressors, but to stop them we need to look at ourselves.	被害 者 意識 を 持ち 、 苦境 を 非難 する こと は できる が 、 それ を 止める に は 、 私 たち が 自己 を 省みる 必要 が ある 。
We must change for our own good.	私 たち は 、 自分 たち の ため に 変わら なけれ ば なら ない 。
We cannot ask our detractors to change, so that Muslims benefit.	中傷 者 に 、 イスラム 教 徒 の 利益 の ため に 変わる よう 求める こと は でき ない ため で ある 。
So what do we need to do?	で は 私 たち は 何 を す べき な の で あろう か 。
In the past, Muslims were strong because they were learned.	かつて イスラム 教 徒 に は 、 見識 を 拠り所 と する 力 が あっ た 。
Muhammad’s injunction was to read, but the Koran does not say what to read.	モハメッド の 教え は 、 読め と いう こと で ある が 、 コーラン に 「 何 を 」 読む べき か が 示さ れ て いる わけ で は ない 。
Indeed, there was no “Muslim scholarship” at the time, so to read meant to read whatever was available.	実 に 、 当時 は 「 イスラム 教学 者 」 が 存在 し て おら ず 、 すなわち 読め と いう こと は 、 何 で も 読む よう に と いう こと だっ た の で ある 。
The early Muslims read the works of the great Greek scientists, mathematicians, and philosophers.	初期 の イスラム 教 徒 は 、 偉大 な ギリシャ ��� 科学 者 、 数学 者 および 哲学 者 の 著書 を 読ん で い た 。
They also studied the works of the Persians, the Indians, and the Chinese.	また 、 彼 ら は ペルシャ 人 、 インド 人 および 中国 人 の 著書 も 学ん だ 。
The result was a flowering of science and mathematics.	結果 は 科学 および 数学 の 開花 で あっ た 。
Muslim scholars added to the body of knowledge and developed new disciplines, such as astronomy, geography, and new branches of mathematics.	イスラム 教 の 学者 は 知識 の 根幹 に 新しい 知識 を 加え 、 天文 学 、 地理 学 、 数学 の 新しい 分野 など 、 新しい 原理 を 発展 さ せ た 。
They introduced numerals, enabling simple and limitless calculations.	彼 ら は アラビア 数字 を 発明 し 、 単純 で 無限 な 計算 を 可能 に し た 。
But around the fifteenth century, the learned in Islam began to curb scientific study.	しかし 15 世紀 初頭 、 イスラム 教 の 有識 者 は 、 科学 的 研究 を 抑制 し 始め た 。
They began to study religion alone, insisting that only those who study religion – particularly Islamic jurisprudence – gain merit in the afterlife.	彼 ら は 、 特に イスラム 教 の 法 体系 と いっ た 宗教 を 学ぶ 者 だけ が 死後 の 利益 を 享受 できる と 主張 し て 、 宗教 のみ を 学び 始め た 。
The result was intellectual regression at the very moment that Europe began embracing scientific and mathematical knowledge.	結果 は 、 ヨーロッパ が 科学 および 数学 的 知識 を 奉ずる よう に なっ た 時期 の 知的 後退 の 始まり で あっ た 。
And so, as Muslims were intellectually regressing, Europeans began their renaissance, developing improved ways of meeting their needs, including the manufacture of weapons that eventually allowed them to dominate the world.	そして その ため 、 イスラム 教 徒 は 知的 後退 期 に 入り 、 ヨーロッパ 人 は ルネサンス 期 に 入り 、 最終 的 に は 世界 の 支配 に つながっ た 武器 の 製造 を 含む 、 必要 を 満たす ため の 改善 さ れ た 手法 を 開発 し 始め た 。
By contrast, Muslims fatally weakened their ability to defend themselves by neglecting, even rejecting, the study of allegedly secular science and mathematics, and this myopia remains a fundamental source of the oppression suffered by Muslims today.	対照 的 に 、 イスラム 教 徒 は 彼 ら が 言う ところ の 非 宗教 の 科学 および 数学 の 研究 を 無視 し 、 とき に は 拒否 する こと で 防衛 力 を 致命 的 に 弱体 化 さ せ 、 この 視野 の 狭 さ が 今日 の イスラム 教 徒 が 苦しむ 苦境 の 根源 と なっ た 。
Many Muslims still condemn the founder of modern Turkey, Mustafa Kamal, because he tried to modernize his country.	多く の イスラム 教 徒 が いまだ に 現代 トルコ の 建国 の 祖 Mustafa Kamel を 、 国 を 現代 化 しよう と し た と いう 理由 で 非難 し て いる 。
But would Turkey be Muslim today without Ataturk?	しかし この トルコ の 父 なく し て 、 今日 イスラム 教 国 の トルコ は あっ た で あろう か 。
Mustafa Kamal’s clear-sightedness saved Islam in Turkey and saved Turkey for Islam.	Mustafa Kamel の 曇り の ない 視野 が トルコ の イスラム 教 を 救い 、 イスラム 教 の ため に トルコ を 救っ た の で ある 。
