America’s Misguided Immigration Debate	アメリカの見当違いな移民討論
These fundamental rights are part and parcel of democratic government.	これらの基本的権利は民主主義政府の一部であり一面である。
But when it comes to economic development, these fundamental rights are more important than other purely political aspects of democracy, such as universal suffrage and genuine political competition.	しかし経済発展にとっては、これら基本的権利は、平等な選挙権および真の政治的競争といった、民主主義の他の純粋に政治的な側面よりも、さらに重要なのである。
This is how the Western world became democratic in the nineteenth and twentieth centuries.	これこそが西側の世界が 19 世紀および 20 世紀に民主主義化してきた道筋である。
Economic liberalism came first, political liberalism later.	経済の自由化が第一にあり、政治の自由化はその後に続いたのである。
But today’s young democracies have to do everything much faster.	しかし今日の新しい民主主義では、すべてをより急速に進める必要がある。
They don’t have the luxury of restricting suffrage to property owners, or to more educated citizens.	今では選挙権を富裕層やより教養のある市民に制限するというぜいたくは許されていないのだ。
Nevertheless, we should remember the lessons of history.	それでも、歴史による教訓を忘れてはならない。
Political reforms are more likely to be successful if they are preceded by economic reforms.	政治改編は、経済改編が先行した場合に成功しやすいのである。
We should insist that Egypt or Pakistan improve their market system, apply the rule of law, and open their economies to international trade and capital movements.	エジプトまたはパキスタンについて、市場システムを改善し、法の支配を適用し、経済を国際貿易と資本移動に開放することを主張すべきである。
Allowing free elections and true political competition is also critically important, but this should follow economic reforms, not precede them.	自由な選挙および真の政治的競争を認めることもまた大変重要な点ではあるが、この点は経済改編に続くべきことであり、先行すべきことではない。
	
Devaluing Life	生命の価値を下げる
In August 2001, President George W. Bush told Americans that he worried about “a culture that devalues life,” and that he believed that, as President of the United States, he has “an important obligation to foster and encourage respect for life in America and throughout the world.”	2001年8月、ジョージ・W・ブッシュ大統領は国民に向けて 、 「 生命の価値を下げる文化」を懸念していると述べ、アメリカ合衆国の大統領として、自らが「アメリカの、そして世界中の生命に対する尊重を助長し、促進する重要な義務」を負っていると示した。
That belief lay behind Bush’s denial of federal government funds for stem-cell research that could encourage the destruction of human embryos.	ヒト胚（はい）の破壊を助長しかねない幹細胞研究に対する連邦政府の資金供給を認めないブッシュの考えの根底には、この信念がある。
Although the Bush administration acknowledged that some scientists believe stem cell research could offer new ways of treating diseases that affect 128 million Americans, this prospect evidently did not, in Bush’s view, justify destroying human embryos.	ブッシュ政権は、幹細胞研究が1億2千800万の国民を蝕む病気の新しい治療法が見つかるかもしれないとする科学者の説があることを認めてはいるが、ブッシュの観点からは、この展望は明らかに、ヒト胚（はい）の破壊を正当化するものではない。
Last month, the military forces that this same president commands aimed a missile at a house in Damadola, a Pakistani village near the Afghanistan border.	先月、この大統領が司令部を勤める軍隊が、アフガニスタン国境に近いパキスタンのダマドラ村の民家にミサイルを発射した。
Eighteen people were killed, among them five children.	18人が殺され、うち5人は子供であった。
The target of the attack, Al Qaeda’s number two man, Ayman al-Zawahiri, was not among the dead, although lesser figures in the terrorist organization reportedly were.	死者の中に無名のテロ組織メンバーは含まれていたが、攻撃の標的であったアル・カイーダ副官のアイマン・アル・ザワヒリはいなかった。
Bush did not apologize for the attack, nor did he reprimand those who ordered it.	ブッシュは攻撃について、謝罪も、指示を出した者たちへの叱責もしなかった。
Apparently, he believes that the chance of killing an important terrorist leader is sufficient justification for firing a missile that will almost certainly kill innocent human beings.	大物のテロ指導者を殺せるチャンスは、ほぼ必然的に無実の人々を殺すミサイルの発射を正当化する、十分な根拠になると考えているように見受けられる。
Other American politicians took the same stance.	他のアメリカの政治家も同じ立場をとった。
Senator Trent Lott, a conservative Republican – and a prominent opponent of abortion – said of the attack: “Absolutely, we should do it.”	保守的な共和党の上院議員－そして中絶反対者として有名な－トレント・ロットは攻撃について 、 「 絶対にやるべきだ」と述べた。
Senator John McCain, another leading Republican, though one often ready to disagree with Bush, expressed regret for the civilian deaths, but added, “I can’t tell you that we wouldn’t do the same thing again.”	普段はブッシュに反対することが多い共和党指導層の上院議員ジョン・マッケインもまた、民間の犠牲者に哀悼を示しながらも 、 「 同じことを繰り返さないとは言い切れない」と付け加えた。
Indeed, it would be hard for the current administration to say that it wouldn’t do the same thing again, because it has done it many times before.	実際、現在の政権には同じことを繰り返さないと言うことは難しいだろう。 すでに、今までに何度もやってきたのだ。
On November 1, 2001, American planes bombed Ishaq Suleiman, a group of mud huts, because a Taliban truck had been parked in one of the streets.	2001年11月1日、アメリカの飛行機がイシャク・スレイマン（日干し煉瓦で造られた小屋の一群）を爆撃した。 これは、タリバンのトラックが周辺の道に止まっていたからという理由であった。
The truck left before the bomb hit, but 12 local villagers were killed and 14 were injured.	トラックは爆弾が当たる前にいなくなったが、12人の村人たちが殺され、14人が負傷した。
There are many more such stories of innocent lives being lost in the war in Afghanistan.	アフガニスタン戦争において、このような無実の命が失われた例は他にいくつもある。
In Iraq, too, American attacks have taken the lives of many civilians.	イラクでも、アメリカ軍の攻撃はたくさんの民間人の命を奪った。
Again, one of many examples will suffice.	ここでもまた、多くの例の中ひとつを挙げるので十分であろう。
On April 5, 2003, a civilian neighborhood in Basra was bombed.	2003年4月5日、バスラ近郊の民間世帯が爆撃された。
The target was General Ali Hassan al-Majid, known as “Chemical Ali” because of his use of chemical weapons against Iraqis.	標的は（イラクに対する化学兵器の多用からこう呼ばれる ） 「 ケミカル・アリ」ことアリ・ハサン・アル・マジド将軍であった。
One bomb hit the home of the Hamoodi family, a respected, educated family, none of whose members belonged to the ruling Baath Party.	爆弾のひとつがハムーディ一家を直撃した。 彼らは尊厳ある、教育を受けた家族であり、誰一人として、支配権力を持つバース党の党員ではなかった。
Of the extended family of 14, ten were killed, including an infant, a two-year-old baby, a 10-year-old boy, and a 12-year-old girl.	近親を含むと14人の家族であったが、そのうち、2歳の幼児、10歳の男児、12歳の女児ら子供を含む10人が殺された。
Four months later, Majid was captured alive; the bombs had missed their intended target.	4ヵ月後、マジドは捕虜として捕らえられた：爆弾は向かうべき標的を逃したのだ。
This consistent pattern of readiness to inflict civilian casualties – often when striking targets that are not of vital military significance – suggests that Bush and other pro-life American leaders have less concern for the lives of innocent human beings in Afghanistan, Iraq, and Pakistan, than they have for human embryos.	民間に死傷を負わせることをいとわない、この首尾一貫したパターン－武装化勢力の枢要部ではない標的を攻撃する場合に多い－は、ブッシュや他のアメリカ指導者たちが、アフガニスタン、イラク、そしてパキスタンに住む無実の人々の命よりも、ヒト胚に対する懸念のほうが大きいことを示唆している。
This is a bizarre set of priorities.	まったく奇妙な優先順位である。
No parents grieve for a lost embryo in the way that they would grieve over the death of a child.	一体どこの親が、子供の死を嘆くのと同じ悲しみを、消えた胚細胞に感じるだろう？
No embryos are capable of suffering, or have hopes or desires for the future that are abruptly cut off by their death.	胚細胞は苦しんだり、希望を抱いたりできない。 死によって不意に断ち切られる、未来への望みを持つこともできないのだ。
It might be possible to justify the loss of innocent human life in Damadola by a utilitarian calculation that killing Al Qaeda’s leaders will, in the long run, save a larger number of innocent human beings.	長期的に見て、アル・カイーダ指導者の意図を潰すことがより多くの無実の人間を守ることになるという功利論的な計算を持ってすれば、ダマドラにおける無実の人命の喪失を正当化することが可能かもしれない。
After all, if they remain at large, they may succeed in carrying out further terrorist attacks that take hundreds or even thousands of innocent lives.	結局、大勢を占めたままであれば、更なるテロ攻撃の実行に成功し、何百何千にものぼる無実の生命を奪うかもしれないのだ。
Bush, however, cannot rely on that argument, for it is precisely the kind of justification that he rejects when it comes to destroying embryos in order to save, in the long run, those dying from diseases for which we currently have no cure.	ブッシュは、しかしながら、この議論を当てにすることはできない。 それは、胚細胞の破壊に関しては、長期的に見て、現在では治療法がない病気によって死にゆく人々を守るためだという、まさに同様の見解から主張される正当化を、彼が否定しているからである。
Other moralists will say that the difference between destroying embryos for research purposes and killing civilians in military attacks is that the former is deliberate killing, whereas the latter deaths are “collateral damage” – unintended, if foreseeable, side-effects of a justifiable act of war.	他の道徳主義者は、研究目的による胚細胞の破壊と、武力攻撃による民間人の殺害との違いは、前者は故意の殺害で、後者は「二次的なダメージ 」 － 意図的ではなく、予知できたとしても、正当と認められる戦時の行動の副作用である、と言うだろう。
We can grant that it was not the primary intention of those who planned and authorized the attack on Damadola to kill innocent people.	ダマドラへの攻撃を計画し、許可した者たちの主要な意図が、無実の人々を殺すことではなかったと認めることはできる。
We can also accept that al-Zawahiri is undoubtedly a dangerous foe, still active in a terrorist movement, and that he is a legitimate military target.	また、アル・ザワヒリが未だテロ活動を続けており、危険な敵であることに疑いの余地がないこと、そして彼が合法の軍事的標的であることも受け入れられる。
Perhaps this particular attack can be justified on those grounds.	この特別な攻撃に関しては、あるいは、これらの理由に基づいて正当化できるかもしれない。
Nevertheless, the doctrine that it is acceptable to take actions that will foreseeably kill innocent people can have the effect of leading us to treat more lightly than we should the deaths of those killed.	それでも、無実の人々の殺害が予知される攻撃を容認する方針は、殺された人々の死を軽く扱うことを我々に促す効果を持ちうる。
That, it seems, is what has happened somewhere in the American chain of command.	これが、アメリカの命令系統で起きたことであると思われる。
The presence of a Taliban truck does not justify bombing a village in which civilians are going about their daily lives.	タリバンのトラックがあったからといって、民間人が日常生活を営む村への爆撃を正当化する理由にはならない。
Killing innocent people in order to bring a kind of rough justice to “Chemical Ali” – a particularly nasty member of Saddam’s military elite, but one who at the time of the raid was no longer in command of military forces – is wrong.	サダムの軍事エリートの中でもことさら卑劣なメンバー、しかし襲撃の時点で既に軍隊の指導部ではなかった「ケミカル・アリ」を手荒く征伐するという目的のためとはいえ、無実の人々を殺害することは間違っているのだ。
A culture that allows – and even endorses – such tactics is not one that is genuinely committed to encouraging respect for life.	このような戦術を許す－是認さえする－文化は、生命の尊重を真に奨励するものではない。
We can be quite sure that American forces would not have acted in the same way if the civilians nearby had been other Americans.	もし、近くにいたのがアメリカ市民であったとしたら、アメリカ軍が同じ行動を取らなかったであろうことは、確かである。
	
Do Low Interest Rates Ensure High Asset Prices?	低金利は高資産価格を保証するか
Asset prices– stocks, commercial real estate, and even oil – are, historically, at high levels around the world.	株式、商用不動産、さらには石油さえ含む資産価格が、世界中で歴史的な高水準にある。
Although history is often a good predictor of future trends, every now and then something fundamental changes that makes for a new pattern.	歴史は多くの場合、将来トレンドの良き指針となるが、いつでも何らかの根源的な変化により、新しいパターンが生み出される。
The important question now is whether today’s high asset prices are the result of some such fundamental development, or whether bubbles have formed.	今重要な問題は、今日の高資産価格がそういった根源的な発展の結果であるのか、はたまたバブルが形成されているのかである。
One oft-heard justification for high asset prices is that real (inflation-adjusted) long-term interest rates are very low.	高資産価格を裏付けるよく聞かれる理由として 、 ( インフレ率調整後) 実質長期金利がとても低いという理論が挙げられる。
But investors should be wary of this argument.	しかし投資家はこの理論を敬遠するであろう。
It may sound plausible, but it is hardly conclusive, and, more importantly, it certainly does not tell us that high prices are sustainable.	聞こえは良いが、この理論には確証に乏しく、さらに重要なこととして、高価格の持続性を予測させるものではない。
It is, of course, true that real long-term interest rates have declined quite markedly – not suddenly and not only recently, but at a fairly steady pace for more than twenty years.	もちろん、実質長期金利が突然でも最近でもなく、20 年以上をかけて一定の割合で、かなり目立って低下してきたことは事実である。
According to the IMF, world real long-term interest rates peaked at nearly 7% on average in 1984, and fell to just below 2% by 2004.	IMF によれば、世界の実質長期金利は 1984 年に平均 7% 近くで天井を打ち、2004 年には 2% 直下まで低下した。
There were some ups and downs along the way, but the overall trend has been downward, and the magnitude of the decline – nearly five percentage points – is striking.	その過程に幾分かの上げ下げはあったが、全体としては下降傾向であり、5% 以上近くという大幅な低下は、衝撃的なものであった。
Ben Bernanke, the Chairman of President George W. Bush’s Council of Economic Advisors and a likely candidate to succeed Alan Greenspan as the Federal Reserve’s chairman in January, has called the decline in real interest rates over just the last decade a “global savings glut.”	ジョージ W. ブッシュ大統領の経済諮問委員会委員長であり、1 月に連邦準備制度理事会議長アラン グリーンスパンの後を継ぐもっとも有力な候補者である、ベン バーナンキ (Ben Bernanke) は、直近の過去 10 年間の実質金利低下を「グローバルな貯蓄過剰」と表現した。
It is not that there is “too much” saving around the world today, but that the amount of saving has been high enough that returns, as measured by real interest rates, are a lot lower than they once were.	これは今日世界中が貯蓄「過多」であるというわけではなく、貯蓄が十分に高い水準にあるため、実質金利で計算すると、過去に比べて利回りが大幅に低下しているということである。
In a March 2005 speech, Bernanke argued that this “glut” helps explain several features of the American economy, possibly including the enormous fiscal and trade deficits.	2005 年 3 月の講演で、バーナンキはこの「余剰」は、巨額の財政および貿易赤字を含む、アメリカ経済の数多くの特徴を説明しうると論じた。
Low real long-term rates mean that any long-term asset that pays, say, $100 a year in real terms would have been worth a real $1,429 in 1984, when it yielded 7%, but would have to be worth a real $5,000 now, when it yields just 2%.	低実質長期金利は実質的に年間 100 ドルの利益を生む長期資産は、利回りが 7% であった 1984 年には実質 1,429 ドルの価値があったが、利回りがたった 2% の今は実質 5,000 ドルの価値があるべきであるということを意味する。
A decline in long-term rates of such magnitude would thus appear to imply massive price inflation for real assets, justifying the high prices we are in fact seeing.	このように大幅な長期金利の低下は、不動産の大規模な価格インフレを暗示し、事実我々が目撃している高価格を裏付けている。
Case closed, according to some advocates of pricey investments.	高額投資家によるいくつかの主張によれば、これで一件落着である。
But there are holes in this case.	しかし今回の場合、落とし穴がある。
We have to look at the reasons that real interest rates were so much higher 10 or 20 years ago, and think about what that means, and we also have to look at the broader history of asset prices and their relation to real interest rates.	実質金利が 10 年または 20年前にそれほど高い水準にあった理由を鑑み、その意味を考えてみる必要があり、また資産価格のより幅広い歴史と実質金利との関係を鑑みる必要がある。
Twenty years ago, real short-term interest rates were exceptionally high by historical standards because the major central banks of the world wanted to combat what was seen at the time as inaction against spiraling inflation.	20 年前、世界中の主な中央銀行が、当時インフレ スパイラルに対する無策と見られていた状況を打開しようとしたため、実質短期金利は歴史的な標準からすれば例外的に高い水準にあった。
It took the courage – or recklessness, depending on your point of view – of US Federal Reserve Chairman Paul Volcker to send the world into recession in 1981-2 in order to break the back of inflation.	当時の連邦準備制度理事会議長 ポール ボルカー (Paul Volcker) にとって、インフレを根絶するために 1981 年から 1982 年の間、世界を景気後退に導くには、勇気または見方を変えれば無謀さが必要であった。
That recession was destructive, but it had one silver lining: an inspiration to the world that an independent central bank can take tough measures to ensure price stability.	その景気後退は破壊的であったが、世界に、独立した中央銀行が価格の安定性を保証する強硬手段を実行しうるという直観を与えたという、一筋の光明があった。
But, while the worldwide recession of 1981-2 brought inflation down rapidly, nominal long-term interest rates did not fall immediately, for the world’s markets were still not convinced.	しかし、1981 年から 1982 年の世界的な景気後退はインフレ率を急速に引き下げたが、世界のマーケットに確信がなかったため名目長期金利はすぐには下がらなかった。
Hence, real long-term rates remained quite high in the mid-1980’s.	すなわち、実質長期金利は 1980 年中頃にはかなり高い水準から動かなかったのである。
Gradually, with lenders becoming increasingly confident in subsequent years that low inflation was here to stay, real long-term interest rates began heading south.	徐々に、低インフレ率がその後数年間定着することを貸し手が確信するようになり、長期金利は下がり始めた。
But this history means that the true real long-term interest rate was not as high in the 1980’s as our measures show, because long-term inflation expectations must have been much higher than the one-year inflation rate was at the time.	しかしこの歴史は、計算にも示されているように、長期インフレ率期待が当時の年間インフレ率を大幅に上回っていたはずであるため、1980 年代の真の実質長期金利水準はそれほど高かったわけではないことを意味する。
Holders of long-term bonds, for example, must have thought that inflation would come roaring back after the effects of the 1981-2 global recession had passed.	たとえば長期債保有者は、1981 年から 1982 年のグローバルな景気後退後の影響が終われば、インフレが巻き返してくると考えていたはずである。
The inflation-indexed bond markets were not well developed in the 1980’s.	インフレ連動債市場は 1980 年代には未成熟であった。
But we do know that in 1984 the best-developed such market (in the United Kingdom) was quoting long-term real interest rates of only around 3% – far below the IMF’s figure.	しかし、そういった市場でもっとも成熟していた (イギリスの) 市場が、1984 年に実質長期金利を、IMF の数字を大幅に下回る、たったの 3% 前後と予測していたことがわかっている。
Even if we were to accept that real rates were genuinely very high in the mid-1980’s, then the logical conclusion would be that the stock and housing markets should have been even lower in the 1980’s, not that real prices should be very high in 2005.	1980 年代中頃の実質金利が本当にとても高い水準であったと認めるとしても、それは2005 年の実質価格が高水準であるべきであるということではなく、株式および住宅市場が 1980 年代にはさらに低水準であったはずであるという論理的結論につながる。
In fact, if one takes a longer view of real interest rates in the US, calculated by subtracting the previous year’s inflation from the nominal government bond yield, one finds that, while they are much lower than 20 years ago, they are not low by historical standards.	事実、国債の名目利回りから前年度インフレ率を減じて計算する、米国の実質金利をより長期的視点でとらえると、実質金利は 20 年前よりも大幅に低下しているものの、歴史的標準からすればさほど低い方ではないことがわかる。
The average real long-term government interest rate in 1891-1979 – a period ending just before Volcker oversaw soaring growth in borrowing costs – was a mere 1.25%, which is very close to the real long-term interest rate today.	ボルカーが借入れ費用の急騰を予測した時期の直前にあたる、1979 年から 1981 年の平均実質長期国債金利は、今日の実質長期金利に限りなく近い、たったの 1.25% であった。
In short, we simply shouldn’t read too much into the decline in real long-term interest rates over the last 20 years.	つまり、過去 20 年間における実質長期金利の低下を織込みすぎるべきではないのである。
Historically, real rates have jumped around a lot, showing little correlation with asset prices.	歴史的に、不動産の価格変化は激しく、資産価格との関連性はほとんどない。
Whatever their other benefits, the low rates we see around the world now hardly amount to insurance against future drops in asset prices.	他にどのような利点があろうと、現在の世界中の低金利は、将来の資産価格急落に対する保険としてはまったくの不十分である。
	
Elections are Not Enough	選挙だけでは足りない
There can be no liberal order without political democracy, but today we are frequently reminded that political democracy alone does not guarantee a liberal order.	
Free and fair elections may lead to the ascendancy of a president of Iran who wants to “wipe Israel off the map of the Middle East.”	
Or to a president of Venezuela whose intolerance of the business class causes jubilation in the streets, but emigration by those whose initiative is crucial for the welfare of the people. Less damaging, yet problematic, is the election – as in Poland – of a minority government that ruthlessly pursues its members’ personal interests and breaks all promises of cooperation made before the polls.	民主主義政治なくして自由主義体制は成り立たないが、今日の社会では、民主主義政治だけでは自由主義体制は保証されないことを再確認させられる場面が多い。
In other words, elections are not enough if one wants to bring democracy to the world.	自由公平な選挙によって 、 「 イスラエルを中東の地図から消去し」たいというイラン大統領に支配権を与えることもある。 あるいは、ベネズエラ大統領を優勢にすることもある。
Elections can lead to illiberal democracies and worse.	彼のビジネス階級に対する不寛容さはストリートの貧困層を熱狂させるが、その実、企業家達の移住は貧困層の福祉にとって重要なのである。
They must be embedded in a much more complex institutional framework, which I would describe as the liberal order.	また、ポーランドに見られる、選挙前の公約を全て破り私腹を肥やし続ける少数政権を選び出す選挙は、他に比べダメージは少ないものの、大いに問題である。
The first feature of the liberal order is that democracies must not tolerate those who set out to destroy democracy.	言い換えれば、世界に民主主義を広めるためには、選挙だけでは足りないということだ。
Some countries, like Germany, have laws that make it possible to ban political parties whose programs are recognizably anti-democratic.	選挙は名目的民主主義や、それ以下の状態を招く可能性もある。
In the past, the law has been used to curb parties of both the extreme left and the extreme right. This has clearly contributed to preventing any sign of a possible return to the totalitarian ways of the twentieth century.	こういった選挙は、私が自由主義体制とみなすような、より複雑な制度・体制のもとで行わなければならない。
However, it is not always evident when people and parties stand for election what they are going to do if they win.	自由主義体制の第一の特徴は、民主主義が、民主主義を壊しにかかる者たちを許容してはならない点である。
This is where rules that impose term limits on officeholders, such as the Twenty-Second Amendment of the United States Constitution, have their place.	ドイツなどのいくつかの国では、政策が明らかに反民主主義的な政党の活動を、法によって禁止することができる。
Many constitutions contain such a rule, and even President Vladimir Putin of Russia has stated that he will abide by it.	過去には、この法が極左派と極右派それぞれの政党を調整するために使われた。 これは、20世紀における独裁主義への立ち返りを防止するのに、大変な貢献をした。
Let us hope that this will in fact be the case.	しかしながら、選挙にあたって、立候補者や政党が、当選後どうするのかは、常にはっきり示されるわけではない。
Elsewhere, notably in many of the Soviet Union’s other successor states and in Latin America, those in power have often simply changed the constitution – including rules on term limits – to their advantage.	そのために、合衆国憲法の第22修正条項のような、役人の任期制限規則がある。
This is where the second pillar of a liberal order comes into play: the rule of law.	そして、多くの憲法にそういったルールが盛り込まれており、ロシアのヴラジミール・プーチン大統領でさえ、それに従うと述べているのだ。
It cannot be said too often that democracy and the rule of law are not the same thing. There are lawless democracies and undemocratic “states of law” (Rechtsstaat).	我々は実際にそうなってくれることを願うしかないが、他の地域、特に旧ソビエト連邦継承国やラテンアメリカでは、権力者が（任期制限規則も含め）憲法を自分達に有利な形に変えてしまっている。
The constitution of liberty requires both, and the rule of law is the more difficult of the two to establish and maintain, for it requires not just a constitution but, almost more importantly, an independent judiciary that is sensitive to violations of constitutional and other legitimate rules.	そこで、自由主義体制の二本目の柱：法規則が力を発揮する。
It is extremely important that Iraq held elections to a constitutional assembly.	民主主義と法規則は別物だとは、なかなか言うことができない。 法律のない民主主義や、民主主義的でない「法治国家」もある。
This has produced – albeit with a certain amount of external pressure notably on behalf of the Sunnis – a document that may provide the basis for the rule of law.	自由主義の憲法には、両方が必要であり、法規則は、成立させるのも維持するのも、より難しい。 なぜなら、憲法だけではなく、憲法などの合法規則への違反に敏感な独立の司法機関を必要とするからである。
But the task of finding, appointing, and accepting independent judges remains.	イラクが憲法制定議会の選挙を行ったことは非常に重要である。
It will be particularly difficult in an environment in which the sharia – that is, Islamic religious law administered not by judges but by priests – is never far away. The rule of secular law is the most delicate prerequisite of a liberal order.	特にスンニ派による外部圧力があったとはいえ、これによって、法規則の基盤となり得る文書が作り出されたのだ。
	しかし、独立した裁判官を選出、任命し、そして社会に受容させるという課題がまだ残っている。
	裁判官ではなく僧侶が統治するイスラム教の法、シャリアが根強く残る環境では、とりわけ難しいだろう。
Even then, we know from history that it takes but one Enabling Law to unhinge the rule of law and replace it by an ideological tyranny, as happened when Hitler came to power in Germany.	非宗教的な法は、自由主義体制にとって、最もデリケートな必須条件である。 ドイツでヒットラーが台頭したときに見られたように、授権法は法の規則を引き離し、イデオロギーの暴政を招くということを、我々は歴史から学んでいる。
This is where the third element of a liberal order comes into play: civil society.	そこで、自由主義体制の三本目の柱：市民社会が力を発揮する。
A plurality of civic associations and activities – regulated but not controlled by the state, and free to express its views and even to demonstrate its (diverse) sentiments publicly – is the most powerful pillar of a liberal order.	多数の市民団体や活動が、自由主義体制の最も強力な柱なのである。 彼らは、国からの統制はうけるが、管理は受けず、自由に見解や、さらには多様な所感を公的に表示することができる。
A vibrant civil society will mobilize when the rule of law is violated, and it can also check the illiberal inclinations of democratic majorities.	活発な市民社会は法規則が破られたときに力を結集する。 そして、民主主義の多数派が偏狭な傾向を見せていないかチェックすることもできる。
The near-universal availability of information makes it much easier than it was in earlier times for the voluntary non-governmental organizations that form civil society to emerge.	今日、ほぼ全世界で情報入手が可能であることは、市民社会の興隆を担う自発的な非政府組織の活動を、かつてないほど容易にしている。
However, there is no ultimate guarantee against the abuse of power, especially if that power is democratically gained.	しかしながら、権力の乱用に立ち向かえるという絶対的な保証はない。 特に、その権力が民主主義によって得たものであるほど困難だろう。
The international community must therefore recognize that it is not enough to promote, organize, or monitor elections in hitherto undemocratic countries.	それゆえに、国際社会は、従来の非民主主義国においては、選挙の推進、計画、また監視だけでは足りないということを認知しなければならない。
The program of spreading the liberal order requires a much more sophisticated approach.	自由主義体制の普及計画には、より洗練されたアプローチが必要である。
Above all, it requires international agencies and groupings that remain alert to the risks of illiberal democracies.	中でも、国際機関や団体等が、非自由主義的民主主義の危険性を常に警戒することが求められている。
	
For Turkey, For Europe	トルコのために、ヨーロッパのために
Turkey is now, finally, negotiating with the European Commission the terms of its possible membership in the European Union.	トルコは、今やっと、EU加盟条件について欧州委員会との交渉に入っている。
But whether “possible” becomes “eventual” remains very much an open question.	しかし 、 「 見込み」が「結果」になるかどうかは、大きな未決問題のままだ。
Indeed, completing the negotiations is likely to prove as difficult as the decision to start them.	実際、交渉の完了は、交渉の開始の決断と同様に困難であることを証明しそうである。
Recall that Turkey made its first application to join in 1959, and that since 1963, the European Economic Community, the forerunner to today’s EU, responded with a delaying tactic: a request for a customs agreement.	トルコの最初の加盟志願は1959年であったことを思い出そう。 1963年以来、EUの前身である欧州経済共同体は、先延ばし戦術をもって応えた。
At the same time, having never had to take “no” for an answer – and after receiving a series of nods and winks that hinted that membership might one day come – Turkey’s expectation of eventual EU integration became increasingly palpable.	関税同盟の要求である。 同時に 、 「 NO」という答えを出さずに今まで来たこと、そして、いつの日か加盟が叶うかもしれないとほのめかすような一連の合図のあとで、最終的なEUへの統合というトルコの期待はますます明白になった。
But ordinary Europeans have begun looking at maps, and the geography that they see cannot be denied: 95% of Turkey’s territory and 80% of its population is in Asia.	しかし普通のヨーロッパ人が地図を見るとき、彼らの目に映る地理的特徴は否定できない。 トルコの領域の95 ％ 、 そして人口の80％がアジアにある。
As a result, the fierce and lively debate – in Turkey and much more emphatically in the EU – about whether Turkey really belongs to Europe has continued, despite the start of negotiations.	結果として、交渉開始にも拘らず、トルコが本当にヨーロッパに属するのかという強く激しい討論は（トルコにおいて、そして断然ヨーロッパにおいて）続いた。
Of course, the question of Turkey’s European identity cannot be answered with geography lessons.	もちろん、トルコのヨーロッパへの帰属意識は地理の授業では解き明かせない。
At least half of the body of Greek theater and philosophy was produced in Asia Minor.	ギリシャの演劇や哲学は少なくともその半分が小アジアにおいて生み出された。
The first Christian evangelization trips of Saint Peter and Saint Paul were to Turkey.	聖ペーターと聖ポールの最初のキリスト教伝道はトルコへの旅だった。
Later, Ottoman Turkey was for centuries considered a part of the “concert of Europe,” proving indispensable in defining and securing the strategic balance among the European continent’s Great Powers.	後年、ヨーロッパ大陸の帝国同士による戦略均衡の輪郭を明示し、保障する必要不可欠な帝国として、オスマントルコは世紀をまたいで「ヨーロッパ強調」の一部と考えられていた。
Yet this historical evidence is not enough to unite European sentiment in favor of Turkey’s EU membership.	しかしこの歴史的事実は、トルコのEU加盟に味方してくれるようなヨーロッパの感情を結束するのには不十分である。
On the contrary, “the Turkish Question” will be resolved on the basis of the current political preoccupations and concerns for the future.	それどころか 、 「 トルコ問題」は政治的関心と将来への懸念に基づいて決議されることになる。
Fortunately, that choice was not settled prematurely and peremptorily: the process that will lead to a final decision was merely allowed to start with the opening of negotiations.	幸い、その選択は尚早あるいは圧制的になされたわけではなかった－最終決定につながる工程は、交渉開始に合わせ、単に開始を許されたにすぎないのだ。
Membership talks can’t help but be long and arduous, if only because adopting the acquis communautaire (the body of EU law) requires that Turkey integrate around 10,000 pages of texts into its legislation. However, all this now seems to have a serious chance of succeeding.	もし、アキ・コミュノテール（EU憲法の主文）の採択だけで、自国の法律に10,000頁の原文を合体させることが必要とされるならば、加盟協議が長く困難なものになることは避けられない。
And yet Turkey scares countless Europeans.	それでもなお、トルコは無数のヨーロッパ人をおびえさせる。
With 67 million people today, and a population that will reach 80 million in 20 years and 100 million in 2050, Turkey is bound to become the most populous of all European nations.	現在6千700万人、20年後に8千万人、2050年には1億人に達するといわれる人口を抱え、トルコはヨーロッパ諸国の中でもっとも人口密度の高い国になることは必然である。
It is also a very poor Muslim country.	そして大変貧しいイスラム国でもある。
To be sure, a few countries in Europe, mainly Germany and Austria, have welcomed strong inflows of Turkish immigration.	確かに、ヨーロッパのいくつかの国、主にドイツとオーストリアでは多数のトルコ移民の流入を歓迎した。
But the immigrants have been mostly poor peasants from Anatolia, whose integration has proven to be difficult.	しかし移民はほとんどがアナトリアからの貧しい小作人で、統合は難しいことが判明した。
By contrast, Turkey’s large, secular intellectual community, whose cultural background is European, and from which the Turkish state recruits most of its executives, has remained in Istanbul and Ankara.	対照的に、トルコの大規模な、ヨーロッパの文化的背景を持つ非宗教的識者、つまりトルコ政府が官僚として登用するような人材の集団は、イスタンブールやアンカラに残った。
Europe, then, is frightened by the prospect of more immigration by Turks who find it almost impossible to assimilate.	ヨーロッパは、同化がほぼ不可能といわれるトルコ移民の更なる流入予測におびえた。
